"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"99" ,"" ,"UTC 11/01/2014 07:58:02.384","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"100","" ,"UTC 11/01/2014 07:58:02.736","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54633, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"101","" ,"UTC 11/01/2014 07:58:09.368","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"102","" ,"UTC 11/01/2014 07:58:11.928","Notice"  ,"Network Access","UDP packet dropped"                                   ,"212.97.12.162, 28099, X1"                                            ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"103","" ,"UTC 11/01/2014 07:58:13.288","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1579, X0"                       ,"Port:  1579"                                                                                                             ,""
"104","" ,"UTC 11/01/2014 07:59:02.752","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54648, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"105","" ,"UTC 11/01/2014 07:59:20.144","Notice"  ,"Network Access","UDP packet dropped"                                   ,"66.69.137.147, 40644, X1, cpe-66-69-137-147.sw.res.rr.com"           ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"106","" ,"UTC 11/01/2014 07:59:20.224","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1593, X0"                       ,"Port:  1593"                                                                                                             ,""
"107","" ,"UTC 11/01/2014 07:59:33.544","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"108","" ,"UTC 11/01/2014 07:59:52.160","Notice"  ,"Network Access","TCP connection dropped"                               ,"1.168.235.199, 4299, X1, 1-168-235-199.dynamic.hinet.net"            ,"173.240.220.68, 445, X1"                     ,"SMB"                                                                                                                     ,""
"109","" ,"UTC 11/01/2014 08:00:02.752","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54662, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"110","" ,"UTC 11/01/2014 08:00:27.752","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1606, X0"                       ,"Port:  1606"                                                                                                             ,""
