"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                        ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"83" ,"" ,"UTC 11/01/2014 09:00:03.256","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55736, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"84" ,"" ,"UTC 11/01/2014 09:00:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                 ,"172.30.51.1, 1871, X0"                       ,"Port:  1871"                                                                                                             ,""
"85" ,"" ,"UTC 11/01/2014 09:00:34.496","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"86" ,"" ,"UTC 11/01/2014 09:01:01.752","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 33051, X1"                                     ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"87" ,"" ,"UTC 11/01/2014 09:01:03.256","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55751, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"88" ,"" ,"UTC 11/01/2014 09:01:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1875, X0"                       ,"Port:  1875"                                                                                                             ,""
"89" ,"" ,"UTC 11/01/2014 09:01:29.704","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"90" ,"" ,"UTC 11/01/2014 09:02:03.272","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55770, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"91" ,"" ,"UTC 11/01/2014 09:02:21.944","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.55.132.156, 12259, X1"                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"92" ,"" ,"UTC 11/01/2014 09:02:22.320","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
