No.,Time,Source,Destination,Protocol,Length,Info,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
11646,79.925723,24.6.173.220,184.73.46.94,TCP,54,"11006 > 80 [RST, ACK] Seq=2 Ack=188 Win=0 Len=0",37.4404,-121.8705,39.0437,-77.4875
11647,80.043084,199.233.57.41,24.6.173.220,TCP,60,"80 > 10945 [RST, ACK] Seq=815 Ack=1567 Win=5616 Len=0",38.0,-97.0,37.4404,-121.8705
11648,80.443588,93.184.216.169,24.6.173.220,TCP,60,"80 > 10947 [FIN, ACK] Seq=581 Ack=1033 Win=16768 Len=0",38.0,-97.0,37.4404,-121.8705
11649,80.443768,24.6.173.220,93.184.216.169,TCP,54,10947 > 80 [ACK] Seq=1033 Ack=582 Win=65120 Len=0,37.4404,-121.8705,38.0,-97.0
11650,80.444074,24.6.173.220,93.184.216.169,TCP,54,"10947 > 80 [FIN, ACK] Seq=1033 Ack=582 Win=65120 Len=0",37.4404,-121.8705,38.0,-97.0
11651,80.451687,67.192.92.227,24.6.173.220,TCP,60,"80 > 10958 [FIN, ACK] Seq=10304 Ack=609 Win=7168 Len=0",29.4889,-98.3987,37.4404,-121.8705
11652,80.451832,24.6.173.220,67.192.92.227,TCP,54,10958 > 80 [ACK] Seq=609 Ack=10305 Win=66240 Len=0,37.4404,-121.8705,29.4889,-98.3987
11653,80.452074,24.6.173.220,67.192.92.227,TCP,54,"10958 > 80 [FIN, ACK] Seq=609 Ack=10305 Win=66240 Len=0",37.4404,-121.8705,29.4889,-98.3987
11654,80.461203,93.184.216.169,24.6.173.220,TCP,60,80 > 10947 [ACK] Seq=582 Ack=1034 Win=16768 Len=0,38.0,-97.0,37.4404,-121.8705
11655,80.505926,67.192.92.227,24.6.173.220,TCP,60,80 > 10958 [ACK] Seq=10305 Ack=610 Win=7168 Len=0,29.4889,-98.3987,37.4404,-121.8705
11656,82.832545,24.6.173.220,50.18.86.99,TCP,54,"11019 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,37.3394,-121.895
11657,82.832745,24.6.173.220,74.217.78.158,TCP,54,"11016 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,37.5402,-122.3041
11658,82.832931,24.6.173.220,74.217.78.158,TCP,54,"11017 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,37.5402,-122.3041
11659,82.848498,74.217.78.158,24.6.173.220,TCP,60,"80 > 11016 [FIN, ACK] Seq=1 Ack=2 Win=14720 Len=0",37.5402,-122.3041,37.4404,-121.8705
11660,82.848718,24.6.173.220,74.217.78.158,TCP,54,11016 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,37.5402,-122.3041
11661,82.849606,74.217.78.158,24.6.173.220,TCP,60,"80 > 11017 [FIN, ACK] Seq=1 Ack=2 Win=14720 Len=0",37.5402,-122.3041,37.4404,-121.8705
11662,82.849609,50.18.86.99,24.6.173.220,TCP,241,[TCP segment of a reassembled PDU],37.3394,-121.895,37.4404,-121.8705
11663,82.84975,24.6.173.220,74.217.78.158,TCP,54,11017 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,37.5402,-122.3041
11664,82.850094,24.6.173.220,50.18.86.99,TCP,54,"11019 > 80 [RST, ACK] Seq=2 Ack=188 Win=0 Len=0",37.4404,-121.8705,37.3394,-121.895
